Matricula, Nome, Função, Salário
319625, João Almeida, Assistente, 2686.64
332754, Maria Santos, Gerente, 5545.45
768349, Carlos Silva, Analista, 8202.17
887176, Julia Pereira, Assistente, 5375.48
613221, João Souza, Analista, 4199.11
057252, Maria Costa, Coordenador, 9330.52
480062, Ana Santos, Desenvolvedor, 6037.38
273947, Ana Oliveira, Técnico, 9233.21
160996, Carlos Nascimento, Coordenador, 3048.28
803490, Julia Souza, Técnico, 8990.81
016713, Lucas Pereira, Desenvolvedor, 7262.57
279615, Julia Santos, Assistente, 3067.53
918493, Ana Silva, Gerente, 7971.82
300225, Julia Pereira, Gerente, 8417.20
992683, Carlos Costa, Técnico, 8244.99
989810, Julia Almeida, Assistente, 6420.66
541190, Pedro Nascimento, Desenvolvedor, 3450.15
444754, Julia Almeida, Coordenador, 2873.89
259202, João Costa, Assistente, 6390.47
207629, Carlos Nascimento, Desenvolvedor, 4779.05
052405, Ana Pereira, Coordenador, 6947.38
585384, Ana Nascimento, Gerente, 3666.08
151466, Carlos Pereira, Assistente, 3840.75
158037, Maria Silva, Analista, 3796.68
617298, Carlos Pereira, Gerente, 4518.97
385055, Beatriz Souza, Gerente, 2273.80
467382, Pedro Costa, Analista, 7349.61
976083, Beatriz Costa, Analista, 7800.76
033457, Maria Almeida, Assistente, 3290.58
301300, Lucas Oliveira, Desenvolvedor, 2921.76
919353, João Souza, Assistente, 3287.98
540212, Ana Oliveira, Assistente, 4982.63
634987, Carlos Silva, Coordenador, 2545.04
870510, Maria Nascimento, Assistente, 4454.56
514496, Pedro Santos, Técnico, 7682.36
589845, João Almeida, Gerente, 4743.45
930744, Pedro Pereira, Assistente, 4095.12
159546, Maria Santos, Desenvolvedor, 3854.75
709463, Ana Santos, Desenvolvedor, 8798.79
877077, Lucas Pereira, Gerente, 6742.19
237542, Maria Costa, Analista, 6302.36
034113, João Santos, Gerente, 7451.49
549335, João Silva, Gerente, 3073.61
128930, Julia Silva, Desenvolvedor, 2305.11
257456, Lucas Oliveira, Gerente, 9598.40
716427, Pedro Oliveira, Coordenador, 6531.72
764450, Julia Almeida, Assistente, 8630.92
534403, Julia Oliveira, Analista, 8945.20
760999, João Almeida, Gerente, 9131.47
343208, Maria Silva, Gerente, 2667.89
131664, Beatriz Silva, Analista, 7204.08
718031, Julia Santos, Analista, 7837.28
128208, Ana Santos, Coordenador, 7917.58
979125, Ana Almeida, Assistente, 4944.17
267886, João Silva, Coordenador, 4936.55
049726, João Nascimento, Coordenador, 7635.35
736456, Lucas Santos, Coordenador, 8076.13
114973, Maria Santos, Técnico, 8927.00
525301, Carlos Souza, Assistente, 2073.77
113563, Maria Costa, Técnico, 4353.94
736974, Pedro Nascimento, Analista, 9120.15
660787, João Costa, Analista, 9114.69
828443, Pedro Pereira, Analista, 2850.28
444694, Ana Oliveira, Gerente, 7399.33
948563, Julia Nascimento, Coordenador, 3661.73
116316, Maria Oliveira, Assistente, 2182.39
699937, Lucas Silva, Assistente, 2894.35
675575, Maria Santos, Assistente, 5867.63
320138, Pedro Silva, Analista, 5704.98
636458, Carlos Souza, Técnico, 4334.00
780200, Ana Costa, Técnico, 2508.60
910435, Lucas Silva, Coordenador, 2272.17
332568, Lucas Santos, Analista, 4810.86
074352, Lucas Oliveira, Assistente, 5601.02
269810, Pedro Nascimento, Desenvolvedor, 6088.99
458562, João Costa, Analista, 8390.80
119598, João Silva, Analista, 6154.14
018920, Pedro Santos, Coordenador, 4971.99
867117, Lucas Almeida, Analista, 6651.12
291215, Lucas Almeida, Gerente, 4914.91
855655, Maria Silva, Gerente, 8566.19
139297, Beatriz Costa, Gerente, 3935.17
788646, Julia Silva, Coordenador, 2011.04
026132, Lucas Silva, Coordenador, 7369.96
208137, Carlos Souza, Coordenador, 4027.60
939050, Lucas Almeida, Assistente, 3184.97
600514, Carlos Nascimento, Assistente, 3398.12
166410, Lucas Nascimento, Assistente, 3457.26
509468, Ana Almeida, Assistente, 3418.45
354210, Lucas Almeida, Gerente, 2750.81
677669, Lucas Costa, Assistente, 6411.84
754003, Lucas Silva, Gerente, 6192.66
905161, Ana Souza, Assistente, 8567.94
277138, Maria Souza, Analista, 5718.21
181708, Maria Oliveira, Analista, 5899.19
602021, Lucas Santos, Gerente, 4228.70
536412, Maria Souza, Analista, 8031.65
512126, Julia Costa, Analista, 4318.38
796975, Ana Oliveira, Desenvolvedor, 5107.08
881131, Lucas Costa, Analista, 4223.72
366672, Beatriz Souza, Desenvolvedor, 9760.21
291717, Julia Oliveira, Coordenador, 8071.97
363266, Beatriz Nascimento, Gerente, 3636.57
601653, Beatriz Almeida, Analista, 4190.58
161970, Lucas Souza, Gerente, 6146.24
614856, Pedro Souza, Coordenador, 3623.36
176646, Pedro Santos, Técnico, 9014.56
427970, Lucas Santos, Analista, 9562.53
163516, Pedro Costa, Gerente, 8355.02
166242, Julia Almeida, Gerente, 8172.09
223465, Ana Pereira, Desenvolvedor, 4881.24
695625, João Souza, Gerente, 5859.51
678117, Pedro Nascimento, Técnico, 2978.85
898639, João Nascimento, Coordenador, 8065.77
753451, Maria Pereira, Gerente, 4128.57
427070, Maria Souza, Analista, 4558.57
215108, Julia Silva, Técnico, 9002.98
824086, Carlos Pereira, Desenvolvedor, 7830.64
568150, Ana Pereira, Analista, 7997.56
079526, Pedro Oliveira, Assistente, 9547.15
785185, João Pereira, Desenvolvedor, 6512.11
812759, Pedro Oliveira, Assistente, 8035.14
691981, Maria Costa, Assistente, 9281.40
835567, Carlos Costa, Técnico, 2697.11
374469, Ana Pereira, Analista, 4394.91
560793, Maria Almeida, Assistente, 6681.66
500706, Lucas Silva, Técnico, 8713.35
220131, Lucas Nascimento, Gerente, 4685.30
489947, Ana Santos, Coordenador, 6105.23
559083, João Silva, Assistente, 9254.74
687149, Beatriz Santos, Analista, 7825.40
288551, Carlos Nascimento, Gerente, 3139.38
348084, Maria Costa, Gerente, 9615.86
749905, Pedro Souza, Coordenador, 7575.77
689888, Ana Pereira, Assistente, 7738.63
264779, Julia Nascimento, Assistente, 7040.87
738523, Maria Costa, Assistente, 8508.58
840327, Carlos Almeida, Assistente, 5199.88
822315, Maria Silva, Coordenador, 9476.87
894275, Pedro Souza, Desenvolvedor, 8192.68
894674, Beatriz Nascimento, Assistente, 4172.13
865509, Julia Costa, Gerente, 8884.21
181036, Beatriz Oliveira, Analista, 8573.71
806442, Julia Souza, Coordenador, 4166.24
704356, Maria Pereira, Coordenador, 2534.91
025567, Lucas Oliveira, Analista, 6340.60
511268, Pedro Pereira, Gerente, 7973.88
185556, Carlos Oliveira, Analista, 7296.00
067728, Carlos Costa, Analista, 8137.68
553830, João Souza, Assistente, 3008.83
090135, Carlos Pereira, Coordenador, 7758.78
077437, Carlos Almeida, Analista, 6025.46
101841, Carlos Almeida, Desenvolvedor, 2707.99
208245, Pedro Silva, Desenvolvedor, 5183.03
566801, Lucas Santos, Assistente, 5869.13
618782, Carlos Costa, Analista, 9882.60
148069, Maria Souza, Assistente, 3065.88
275761, Carlos Costa, Técnico, 4120.25
941481, Lucas Oliveira, Gerente, 6771.80
570073, Julia Nascimento, Gerente, 3158.59
102900, João Costa, Desenvolvedor, 9936.87
605613, Lucas Almeida, Gerente, 5722.89
918746, Ana Santos, Gerente, 6772.81
880782, Lucas Nascimento, Gerente, 3839.09
847076, Maria Pereira, Assistente, 8765.71
695994, Maria Santos, Coordenador, 9651.63
878764, Ana Costa, Gerente, 2272.61
298460, Julia Santos, Coordenador, 8521.00
132987, Lucas Santos, Desenvolvedor, 8652.75
093025, Julia Pereira, Analista, 3175.06
865065, Beatriz Pereira, Gerente, 2705.80
968818, Pedro Almeida, Técnico, 7110.74
394374, Carlos Santos, Técnico, 8867.82
911480, Maria Souza, Analista, 2722.88
402740, Julia Oliveira, Coordenador, 2990.76
936472, Lucas Nascimento, Técnico, 2173.75
103873, Ana Almeida, Técnico, 9740.84
579937, Ana Oliveira, Desenvolvedor, 8232.24
684785, Beatriz Nascimento, Gerente, 5569.75
256453, Lucas Silva, Coordenador, 6489.24
602591, Carlos Silva, Gerente, 9342.27
192257, Pedro Santos, Coordenador, 9808.83
265172, Julia Costa, Analista, 3271.74
469226, Lucas Santos, Desenvolvedor, 3471.32
507960, João Silva, Gerente, 3464.57
830429, Ana Almeida, Desenvolvedor, 4274.46
809805, Pedro Pereira, Gerente, 8337.85
434681, Maria Souza, Analista, 4218.42
740090, Pedro Souza, Técnico, 6210.56
331540, Carlos Souza, Coordenador, 5379.39
362729, Julia Silva, Desenvolvedor, 3633.27
910461, Pedro Almeida, Gerente, 4380.48
048000, Maria Silva, Analista, 7135.83
666766, Beatriz Pereira, Assistente, 6373.97
981523, Ana Santos, Analista, 4143.72
190741, Carlos Santos, Assistente, 3010.52
460536, Carlos Oliveira, Coordenador, 6317.02
632901, Pedro Pereira, Desenvolvedor, 5988.81
069851, Maria Souza, Assistente, 9700.06
516835, Carlos Souza, Assistente, 3036.28
845010, Maria Costa, Assistente, 6129.78
775849, Julia Almeida, Analista, 6022.71
178327, Maria Souza, Desenvolvedor, 3059.67
247965, João Souza, Analista, 9115.32
147427, Julia Nascimento, Coordenador, 5414.97
188854, Maria Silva, Desenvolvedor, 9337.55
931853, Carlos Silva, Assistente, 3072.89
911668, Carlos Pereira, Desenvolvedor, 3749.14
737378, Julia Oliveira, Técnico, 9510.94
099006, Ana Almeida, Coordenador, 8703.71
132983, Beatriz Silva, Assistente, 8876.30
878587, Lucas Nascimento, Desenvolvedor, 6573.92
674932, Carlos Almeida, Técnico, 5136.78
742941, Beatriz Oliveira, Técnico, 5434.01
815999, João Costa, Analista, 7802.35
216730, Lucas Costa, Analista, 8928.17
543733, Ana Nascimento, Gerente, 4833.31
779735, Pedro Costa, Assistente, 6401.81
137773, Carlos Santos, Desenvolvedor, 3940.39
976027, Pedro Oliveira, Analista, 3109.55
072008, João Souza, Desenvolvedor, 9695.32
383640, Pedro Silva, Assistente, 3914.63
581921, Lucas Pereira, Coordenador, 8295.96
233236, Ana Silva, Gerente, 8402.32
556386, Maria Santos, Coordenador, 9515.49
371774, Julia Silva, Analista, 7968.91
195589, Lucas Almeida, Analista, 8127.56
432895, Ana Costa, Técnico, 2021.79
530314, João Costa, Analista, 4104.73
030705, João Pereira, Desenvolvedor, 6098.23
481094, Beatriz Costa, Analista, 5220.79
754788, Lucas Pereira, Desenvolvedor, 8569.35
356035, Carlos Costa, Analista, 2321.67
506300, Carlos Oliveira, Assistente, 7879.65
168831, Julia Silva, Assistente, 7497.02
016364, Ana Silva, Assistente, 7619.22
088096, Julia Silva, Desenvolvedor, 8641.55
365239, Ana Almeida, Analista, 3330.04
974469, Carlos Souza, Analista, 4862.91
800828, Carlos Santos, Assistente, 3720.98
772574, Maria Santos, Analista, 9658.35
366514, Carlos Oliveira, Técnico, 3427.17
523506, Maria Almeida, Desenvolvedor, 6852.15
192403, Ana Souza, Gerente, 6955.24
937772, Pedro Souza, Assistente, 6180.68
217011, Ana Nascimento, Gerente, 3136.19
258212, João Costa, Desenvolvedor, 3194.85
363622, Pedro Oliveira, Desenvolvedor, 3020.09
110806, Carlos Pereira, Desenvolvedor, 4158.12
931186, Carlos Oliveira, Técnico, 7750.06
146523, Carlos Nascimento, Gerente, 7058.30
509027, Ana Santos, Coordenador, 6324.66
691092, Julia Costa, Analista, 4097.48
474612, Beatriz Costa, Coordenador, 3448.10
364259, Carlos Almeida, Coordenador, 8548.82
511135, Maria Oliveira, Desenvolvedor, 2550.83
319124, Carlos Souza, Assistente, 4027.50
565988, Julia Pereira, Analista, 9298.66
785752, Lucas Oliveira, Coordenador, 6038.44
888065, Julia Souza, Analista, 5483.29
405514, Carlos Santos, Assistente, 8944.69
475641, Lucas Souza, Gerente, 8336.65
703506, Ana Pereira, Coordenador, 5831.68
375050, Pedro Silva, Técnico, 3342.04
471453, Lucas Silva, Desenvolvedor, 5053.45
699825, Julia Souza, Analista, 5068.77
311861, Lucas Santos, Desenvolvedor, 7682.83
233818, Julia Nascimento, Assistente, 7679.89
628036, Carlos Costa, Assistente, 4885.37
390979, Ana Nascimento, Assistente, 3323.15
519444, Carlos Nascimento, Desenvolvedor, 5199.24
419674, João Costa, Desenvolvedor, 5568.39
370305, Pedro Costa, Analista, 9296.61
856019, Beatriz Nascimento, Técnico, 6090.07
778689, Lucas Silva, Gerente, 7796.42
643634, João Silva, Gerente, 4709.40
316544, João Santos, Analista, 4710.70
787927, Lucas Santos, Assistente, 4039.56
313949, Maria Silva, Coordenador, 9982.90
065772, Pedro Almeida, Assistente, 6295.76
183122, Lucas Almeida, Analista, 4227.22
118895, João Almeida, Técnico, 9393.72
509918, Beatriz Costa, Assistente, 9250.96
892470, Julia Nascimento, Coordenador, 8223.52
010965, Beatriz Silva, Assistente, 4777.39
341319, João Oliveira, Coordenador, 5208.46
098459, Maria Almeida, Coordenador, 2785.63
004162, João Nascimento, Técnico, 5091.50
327190, Carlos Nascimento, Gerente, 7220.53
571839, Ana Pereira, Gerente, 8453.57
952316, Beatriz Silva, Desenvolvedor, 3870.64
141750, Julia Santos, Coordenador, 3393.66
499311, Ana Oliveira, Gerente, 7415.92
025652, Carlos Pereira, Coordenador, 7140.32
995156, Lucas Silva, Desenvolvedor, 4393.39
647303, Maria Silva, Analista, 9955.72
209026, Pedro Silva, Desenvolvedor, 8288.70
635966, Ana Nascimento, Coordenador, 6556.25
092913, Pedro Oliveira, Gerente, 6287.67
024650, Pedro Silva, Desenvolvedor, 6757.30
853454, Julia Costa, Coordenador, 2242.24
389052, Ana Silva, Gerente, 9682.19
821314, Lucas Costa, Coordenador, 7507.65
708239, Lucas Santos, Assistente, 7854.89
747850, João Santos, Coordenador, 9037.07
686701, Julia Silva, Desenvolvedor, 7562.08
134245, Carlos Silva, Assistente, 5302.47
830395, Ana Santos, Desenvolvedor, 5556.33
443784, Carlos Silva, Coordenador, 2313.36
915276, Pedro Oliveira, Técnico, 6427.37
670226, Lucas Silva, Assistente, 7326.81
252023, Lucas Almeida, Assistente, 4325.13
803424, João Pereira, Gerente, 7937.69
049330, Beatriz Pereira, Desenvolvedor, 6026.65
284790, Pedro Silva, Técnico, 2293.31
150304, Pedro Costa, Desenvolvedor, 7594.27
249146, Ana Silva, Desenvolvedor, 4484.20
218687, Julia Santos, Analista, 3552.93
354279, João Costa, Técnico, 4468.73
503660, Maria Oliveira, Coordenador, 6542.61
272141, Maria Santos, Analista, 5800.99
702379, Maria Santos, Coordenador, 3332.11
732137, Maria Oliveira, Coordenador, 4093.87
834458, Maria Santos, Desenvolvedor, 8664.06
237393, Maria Costa, Gerente, 7614.14
729034, Pedro Almeida, Analista, 5100.53
496545, Lucas Costa, Desenvolvedor, 6190.53
177813, Maria Silva, Analista, 6302.95
661740, Beatriz Silva, Coordenador, 6133.98
657173, Julia Silva, Analista, 9154.88
278491, Pedro Costa, Coordenador, 8317.94
586095, Lucas Pereira, Gerente, 7494.30
097628, Beatriz Oliveira, Gerente, 8700.31
272825, Beatriz Almeida, Assistente, 8891.73
322616, Ana Souza, Analista, 5381.82
733893, Maria Silva, Assistente, 5293.58
884313, Ana Nascimento, Assistente, 9448.06
364304, João Nascimento, Desenvolvedor, 7548.63
228575, Maria Santos, Analista, 6407.69
794539, Lucas Costa, Analista, 5467.26
482207, Maria Pereira, Gerente, 7074.53
542794, Beatriz Pereira, Gerente, 7017.69
600273, Beatriz Nascimento, Assistente, 3199.92
543691, Ana Almeida, Assistente, 5580.41
819375, Maria Almeida, Técnico, 8841.34
014043, Ana Souza, Desenvolvedor, 9401.37
960372, Carlos Souza, Gerente, 9355.57
540004, João Pereira, Gerente, 4076.91
813577, Carlos Silva, Gerente, 5067.44
676931, Carlos Costa, Gerente, 7387.65
530984, Julia Costa, Analista, 8731.57
674086, Beatriz Silva, Desenvolvedor, 9415.25
365780, Lucas Pereira, Coordenador, 3991.30
441023, Julia Pereira, Desenvolvedor, 4187.75
968637, Beatriz Nascimento, Coordenador, 3511.31
763049, João Costa, Gerente, 2431.13
429790, Beatriz Nascimento, Analista, 9722.20
615029, Beatriz Santos, Analista, 7713.81
037931, João Almeida, Coordenador, 7678.56
586295, Julia Silva, Técnico, 9222.69
797371, Maria Costa, Técnico, 7449.52
090586, Maria Souza, Desenvolvedor, 8230.93
291692, Carlos Almeida, Coordenador, 9805.86
259604, Maria Costa, Coordenador, 9531.33
728722, Lucas Pereira, Desenvolvedor, 6948.07
268228, Carlos Silva, Analista, 8843.60
074287, Ana Nascimento, Analista, 9545.65
235152, Pedro Pereira, Técnico, 2765.14
868643, Carlos Pereira, Desenvolvedor, 7210.65
774426, Lucas Santos, Técnico, 7769.81
765511, Maria Silva, Assistente, 7088.58
738185, Carlos Silva, Desenvolvedor, 6926.91
100215, Lucas Pereira, Analista, 8896.04
641240, João Costa, Desenvolvedor, 3158.59
560511, Ana Nascimento, Analista, 5829.38
751583, Beatriz Costa, Desenvolvedor, 5916.57
178834, João Silva, Desenvolvedor, 3342.79
063968, Carlos Oliveira, Analista, 3637.25
475362, Beatriz Nascimento, Analista, 6457.05
957180, Ana Nascimento, Gerente, 7845.91
077038, Julia Oliveira, Desenvolvedor, 5420.89
135224, Lucas Santos, Coordenador, 2059.49
108299, Beatriz Santos, Desenvolvedor, 4500.41
337216, João Pereira, Analista, 8512.13
084624, Beatriz Costa, Assistente, 6188.49
953816, Beatriz Almeida, Coordenador, 3384.65
665222, Pedro Santos, Técnico, 7435.37
754020, Julia Almeida, Técnico, 3977.39
306225, João Silva, Desenvolvedor, 8268.74
831077, Ana Almeida, Assistente, 7297.31
064284, Pedro Silva, Assistente, 5699.88
785538, Carlos Pereira, Técnico, 8039.64
180818, Lucas Santos, Analista, 5415.88
